Location,progress_bin,ev_sc,ev_vsc,n,rate_sc,rate_vsc,p_sc_historical,p_vsc_historical
Montréal,20-40,0,0,49,0.0,0.0,0.0,0.0
Montréal,40-60,0,0,53,0.0,0.0,0.0,0.0
Montréal,60-80,0,0,47,0.0,0.0,0.0,0.0
Montréal,80-100,0,0,69,0.0,0.0,0.0,0.0
Monza,2-20,0,0,49,0.0,0.0,0.0,0.0
Monza,20-40,0,0,49,0.0,0.0,0.0,0.0
Monza,40-60,0,0,36,0.0,0.0,0.0,0.0
Monza,60-80,0,0,54,0.0,0.0,0.0,0.0
Monza,80-100,0,0,40,0.0,0.0,0.0,0.0
Mugello,2-20,0,0,3,0.0,0.0,0.0,0.0
Mugello,20-40,0,0,11,0.0,0.0,0.0,0.0
Mugello,40-60,0,0,12,0.0,0.0,0.0,0.0
Mugello,60-80,0,0,7,0.0,0.0,0.0,0.0
Mugello,80-100,0,0,14,0.0,0.0,0.0,0.0
Nürburgring,2-20,0,0,11,0.0,0.0,0.0,0.0
Nürburgring,20-40,0,0,8,0.0,0.0,0.0,0.0
Nürburgring,40-60,0,0,12,0.0,0.0,0.0,0.0
Nürburgring,60-80,0,0,8,0.0,0.0,0.0,0.0
Nürburgring,80-100,0,0,11,0.0,0.0,0.0,0.0
Portimão,2-20,0,0,19,0.0,0.0,0.0,0.0
Portimão,20-40,0,0,24,0.0,0.0,0.0,0.0
Portimão,40-60,0,0,25,0.0,0.0,0.0,0.0
Portimão,60-80,0,0,24,0.0,0.0,0.0,0.0
Portimão,80-100,0,0,35,0.0,0.0,0.0,0.0
Sakhir,2-20,0,0,57,0.0,0.0,0.0,0.0
Sakhir,20-40,0,0,78,0.0,0.0,0.0,0.0
Sakhir,40-60,0,0,83,0.0,0.0,0.0,0.0
Sakhir,60-80,0,0,73,0.0,0.0,0.0,0.0
Sakhir,80-100,0,0,83,0.0,0.0,0.0,0.0
Shanghai,2-20,0,0,20,0.0,0.0,0.0,0.0
Shanghai,20-40,0,0,23,0.0,0.0,0.0,0.0
Shanghai,40-60,0,0,17,0.0,0.0,0.0,0.0
Shanghai,60-80,0,0,22,0.0,0.0,0.0,0.0
Shanghai,80-100,0,0,22,0.0,0.0,0.0,0.0
Silverstone,2-20,0,0,66,0.0,0.0,0.0,0.0
Silverstone,20-40,0,0,64,0.0,0.0,0.0,0.0
Silverstone,40-60,0,0,72,0.0,0.0,0.0,0.0
Silverstone,60-80,0,0,55,0.0,0.0,0.0,0.0
Silverstone,80-100,0,0,67,0.0,0.0,0.0,0.0
Singapore,2-20,0,0,19,0.0,0.0,0.0,0.0
Singapore,20-40,0,0,24,0.0,0.0,0.0,0.0
Singapore,40-60,0,0,21,0.0,0.0,0.0,0.0
Singapore,60-80,0,0,16,0.0,0.0,0.0,0.0
Singapore,80-100,0,0,26,0.0,0.0,0.0,0.0
Sochi,2-20,0,0,33,0.0,0.0,0.0,0.0
Sochi,20-40,0,0,45,0.0,0.0,0.0,0.0
Sochi,40-60,0,0,36,0.0,0.0,0.0,0.0
Sochi,60-80,0,0,43,0.0,0.0,0.0,0.0
Sochi,80-100,0,0,39,0.0,0.0,0.0,0.0
Spa-Francorchamps,2-20,0,0,35,0.0,0.0,0.0,0.0
Spa-Francorchamps,20-40,0,0,43,0.0,0.0,0.0,0.0
Spa-Francorchamps,40-60,0,0,47,0.0,0.0,0.0,0.0
Spa-Francorchamps,60-80,0,0,46,0.0,0.0,0.0,0.0
Spa-Francorchamps,80-100,0,0,36,0.0,0.0,0.0,0.0
Spielberg,2-20,0,0,95,0.0,0.0,0.0,0.0
Spielberg,20-40,0,0,93,0.0,0.0,0.0,0.0
Spielberg,40-60,0,0,105,0.0,0.0,0.0,0.0
Spielberg,60-80,0,0,95,0.0,0.0,0.0,0.0
Spielberg,80-100,0,0,131,0.0,0.0,0.0,0.0
Suzuka,2-20,0,0,30,0.0,0.0,0.0,0.0
Suzuka,20-40,0,0,43,0.0,0.0,0.0,0.0
Suzuka,40-60,0,0,39,0.0,0.0,0.0,0.0
Suzuka,60-80,0,0,30,0.0,0.0,0.0,0.0
Suzuka,80-100,0,0,29,0.0,0.0,0.0,0.0
São Paulo,2-20,0,0,50,0.0,0.0,0.0,0.0
São Paulo,20-40,0,0,63,0.0,0.0,0.0,0.0
São Paulo,40-60,0,0,61,0.0,0.0,0.0,0.0
São Paulo,60-80,0,0,54,0.0,0.0,0.0,0.0
São Paulo,80-100,0,0,84,0.0,0.0,0.0,0.0
Yas Island,2-20,0,0,48,0.0,0.0,0.0,0.0
Yas Island,20-40,0,0,52,0.0,0.0,0.0,0.0
Yas Island,40-60,0,0,55,0.0,0.0,0.0,0.0
Yas Island,60-80,0,0,51,0.0,0.0,0.0,0.0
Yas Island,80-100,0,0,62,0.0,0.0,0.0,0.0
Yas Marina,2-20,0,0,5,0.0,0.0,0.0,0.0
Yas Marina,20-40,0,0,12,0.0,0.0,0.0,0.0
Yas Marina,40-60,0,0,11,0.0,0.0,0.0,0.0
Yas Marina,60-80,0,0,12,0.0,0.0,0.0,0.0
Yas Marina,80-100,0,0,9,0.0,0.0,0.0,0.0
Zandvoort,2-20,0,0,39,0.0,0.0,0.0,0.0
Zandvoort,20-40,0,0,33,0.0,0.0,0.0,0.0
Zandvoort,40-60,0,0,41,0.0,0.0,0.0,0.0
Zandvoort,60-80,0,0,31,0.0,0.0,0.0,0.0
Zandvoort,80-100,0,0,49,0.0,0.0,0.0,0.0
