Model,MAE,RMSE,R2,Bias
Global Mean,1.25793586225482,1.7141042936538848,-0.07749297469276617,-0.4596859026826541
Linear Reg (TyreAge Only),1.1973479228795094,1.6330603482581438,0.021987445748887335,-0.4048083119755718
Multiple Linear Reg,0.9397143749150482,1.481933666955324,0.1946262120115545,-0.0008154597978742997
XGBoost Baseline,0.44967273356002135,0.7316165022141105,0.8037060351438061,0.00038098042352759977
XGBoost Baseline (TEST SET 2025),0.4233600936328315,0.7124112406479333,0.8437890053216938,0.03497602381670227
